"","mpa","CT.sp.assessed","housing & urban dvlpt","commercial & industrial dvlpt","tourism & recreation dvlpt","crops","livestock farming","oil & gas production","roads & rail","shipping","recreational activities","work disturbance","invasive intoduction","domestic waste water","agricultural effluent","excess energy","seine","trawl","gillnet","longline","pole.line","jigger","trap","pot","dredge","bivalve_production","crustaceans_production","marine_fish_general_production","salmon_production","shrimp_production","tuna_production","tot.sp"
"1","1",525,0,0,11.2025369978858,0,0,0,0,25.7206260219575,6.5491754756871,0,0,94.2906351629389,92.0978296940333,5.05835911661154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436
"484","10028",759,0,0,240.792642706131,0,0,0,0,143.239196449428,209.086849894292,0,0,191.746731267007,181.862879139842,4.43166542195668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275
"485","10072",519,0,0,64.5432558139535,0,0,0,0,0,58.253023255814,0,0,125.691577619964,117.679365500763,0,0,0,0,0,0,0,0,0,0,13.2590614269363,0,13.9090909090909,0,7.77142857142857,0,848
"1890","100837",480,120.507096774194,114.258580645161,112.86088794926,0,0,0,0.892645161290323,31.124737210932,61.6394080338266,0,0,63.4605429083427,61.9731864339285,5.76346954016857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1483
"486","10098",595,192.245677419355,186.019096774194,50.4732346723044,0,0,0,1.55664516129032,0,44.1051162790698,0,0,127.336231499303,119.979027012677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976
"82","1010",88,0,0,3.87179704016913,0,0,0,0,8.84489605232422,7.74359408033827,0,0,8.55166921085817,7.4827105595009,9.03766136775845,7.20553633217993,25.1256208609272,0,16.4488556749183,0,0,4.78111587982833,10.5184549356223,0,0,0,0,0,0,0,166
"487","10111",1303,0,0,501.963636363636,2.51368562171824,0.418947603619707,0,0,197.859845830413,417.149090909091,0,0,345.789473684211,341.651821862348,3.11351755041075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429
"1891","101165",250,45.7290322580645,39.3269677419355,3.53310782241015,0,0,0,1.82916129032258,0,1.03408033826638,0,0,15.6028406451185,15.6028406451185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516
"1892","101174",580,0,0,11.5472304439746,0,0,0,0,0,6.37682875264271,0,0,90.802415875755,90.1039357536338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
"1893","101225",1,0,0,0,0,0,0,0,0,0,0,0,0,0.666025087940532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1894","101265",1,0,0,0,0,0,0,0,0,0,0,0,0,0.702595075330192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1895","101282",1,0,0,0,0,0,0,0,0,0,0,0,0,0.654012079378775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1896","101391",1593,0,0,479.556363636364,0,0,0,0,390.022891847699,390.592727272727,0,0,449.51317448729,448.720382292427,16.6039688466873,0,0,0,0,0,0,0,0,0,33.1942006867608,0,37.4421487603306,0,27.2357142857143,0,3716
"1897","101392",1541,209.649548387097,207.398709677419,264.766934460888,8.11205451904815,1.4749190034633,0,0.964645161290323,295.833216538192,220.856490486258,0,0,530.017588106458,522.261233158558,10.5195775098688,0,0,0,0,0,0,0,0,0,23.3956505150706,0,29.8760330578512,0,0,0,3279
"1898","101396",1460,40.0526451612903,39.5550967741936,190.702579281184,9.53178415819461,2.19964249804491,0,0.18658064516129,372.925017519271,157.536913319239,0,0,566.037034578881,554.791265679963,8.60002133788542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2869
"1899","101399",1563,0,0,491.797463002114,1.28834767065132,0.214724611775221,0,0,136.24737210932,408.374630021142,0,0,404.88590960377,400.336629720581,4.63629574309186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3297
"1900","101409_A",288,0,0,18.5403805496829,0,0,0,0,18.2206260219575,9.47619450317125,0,0,49.4000132740426,45.4161412358134,2.35997012696042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732
"1901","101409_B",339,1.5181935483871,1.47716129032258,65.4514164904863,5.50262540498268,0.917104234163781,0,0.0136774193548387,31.3307638402242,32.3883298097252,0,0,59.9340280082299,53.6722638879671,3.81254667662435,0,12.0099337748344,0,52.6282111163008,0,0,0,0,0,0,0,0,0,0,0,922
"1902","101417",47,0,0,0.5276955602537,0,0,0,0,2.17227283345013,0.79154334038055,0,0,6.13161213247495,7.49419260635827,2.03371385895658,3.88650519031142,1.39673013245033,0,0.588510042036432,0,0,0,0,0,0,0,0,0,0,0,83
"1903","101430",538,14.1698064516129,13.5953548387097,110.077801268499,4.90112836554575,1.47033850966372,7.79203899268887,0.191483870967742,56.1937631394534,56.2619873150106,2.83346872461413,0,130.60874759408,128.614720913254,5.40339272378107,40.6885813148789,0,0,0,0,0,0,0,0,15.6054940862266,0,0,0,16.5142857142857,0,1290
"1904","101486",1553,0,0,303.25310782241,4.85711093732544,0.80951848955424,0,0,209.536089698669,250.471712473573,0,0,344.833742616314,344.833742616314,6.11799850634802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3349
"1905","101534",39,1.56541935483871,3.65264516129032,3.9106976744186,0,0,0,0,3.07217939733707,4.88837209302326,0,0,8.85425101214575,8.85425101214575,1.61698495679078,1.03460207612457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"1906","101597",65,0,0,0.430866807610994,0,0,0,0,4.06937631394534,0.430866807610994,0,0,3.17428817946506,2.19758412424504,2.80337138589566,5.38685121107266,12.047392384106,0,6.14852872489491,0,0,0,0,0,0,0,0,0,0,0,113
"1907","101635",91,0,0,0.430866807610994,0,0,0,0,0,0.603213530655391,0,0,0.333576690781177,0.285922877812438,0,3.03737024221453,0,0,8.98645492760392,0,0,0,0,0,0,0,0,0,0,0,176
"1908","101640",62,0,0,1.46511627906977,0,0,0,0,3.64213968698902,1.75813953488372,0,0,4.74480653082896,3.47952478927457,1.95924463885629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
"1909","101645",61,0,0,1.26114164904863,0,0,0,0,4.39593552908199,2.10190274841438,0,0,7.25625539257981,5.02356142563218,3.00693481276006,2.92837370242215,12.7251655629139,0,7.30593180756656,0,0,5.85236051502146,14.2128755364807,0,0,0,0,0,0,0,116
"1910","101646",36,0.853161290322581,1.70632258064516,2.93023255813953,0,0,0,0,1.9656622284513,4.88372093023256,0,0,6.0449990044468,6.0449990044468,1.11031686759842,2.40415224913495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
